name;type;lat;lon;rating;kitchen;midprice;id_cat
Омулевая бочка;Кафе;53.197129;107.351953;4.4;;600;0
Далай;Ресторан;53.19518;107.341974;4.4;русская,бурятская;500;1
Кудесница;Кафе,Кофейня,Пиццерия;53.192564;107.348943;4.4;;700;2
Воскресение;Кофейня;53.195689;107.341993;5.5;;700;3
У Лёвы;Кафе;53.193592;107.343228;4.4;азиатская,авторская,бурятская;500;4
Юрта;Кафе;53.194897;107.342512;4.4;;800;5
Port Olkhon;Ресторан;53.193636;107.333058;4.4;бурятская,русская,европейская;1500;6
Палуба;Кафе;53.194414;107.354501;4.4;русская,европейская;750;7
Островок;Пиццерия,Доставка еды и обедов;53.195892;107.337814;4.4;;575;8
Юрта;Кафе,Ресторан;53.197024;107.357183;4.4;;;9
Ресторан Сибирской кухни;Ресторан;53.194224;107.361627;4.4;европейская, русская, авторская, морская, сибирская, национальная;1500;10
Saray;Бар, паб,Кальян-бар,Ресторан;53.194346;107.360876;4.4;русская, восточная, авторская, национальная;3250;11
Кафе;Кафе;53.193206;107.339658;3.3;бурятская,русская;350;12
Вилла Малина;Ресторан;53.201132;107.350841;4.4;русская,европейская,авторская;1800;13
Кофе Терапия;Кофейня,Кафе;53.193208;107.340268;4.4;;650;14
Coffee&Wine;Кафе;53.193876;107.332918;4.4;;200;15
Harat's bus tour;Бар, паб;53.192998;107.343367;3.3;русская,европейская,бурятская;550;16
Кафе;Кафе;53.199329;107.342557;4.4;;;17
Port Olkhon Sound-bar;Бар, паб;53.193035;107.331583;4.4;;;18
Кафе;Кафе;53.193635;107.337982;2.2;500;;19
West Baikal coffee;Кофейня;53.193386;107.349008;;;;20
Кочевник;Бар, паб;53.19323;107.338414;3.3;русская,бурятская,вегетерианская;500;21
Алтан;Кафе;53.014713;106.880478;4.4;бурятская;650;22
Вера;Кафе;53.014436;106.879663;4.4;бурятская;300;23
Кафе;Кафе;53.024817;106.864902;4.4;;;24
Кафе;Кафе;53.026874;106.847089;4.4;;;25
Феникс;Кафе;53.029263;106.829706;4.4;русская,бурятская;500;26
Куркут;Кафе;53.028803;106.830795;4.4;европейская;600;27
Наран;Кафе;53.018122;106.882319;;бурятская;250;28
Кафе Ольхон;Кафе;53.193167;107.341624;4.4;бурятская;500;29
Юрта;Кафе;52.789263;106.38497;4.4;русская, национальная;400;30
Терраса;Кафе;53.001951;106.745892;4.4;русская,европейская,бурятская;700;31
Baikal view cafe;Кафе;53.201113;107.345672;4.4;европейская;1500;32
Уюга;Гостиница;53.168016;106.947917;4.4;русская;550;33
Ирландский паб Harat's pub;Бар, паб;53.002702;106.745045;4.4;смешанная;1500;34
Сурхайта;Кафе;53.281683;107.146371;4.4;;;35
Кафе;Кафе;53.285987;107.582925;;;;36
Shono;Кафе;53.033812;106.812202;4.4;русская,европейская,бурятская;750;37
Delmar;Кафе,Кальян-бар,Бар, паб;53.034728;106.814953;4.4;русская,европейская,азиатская;600;38
Позная;Кафе;53.102902;106.833945;4.4;бурятская;500;39
Bistro Francais;Кафе;53.198479;107.340612;4.4;итальянская, русская, смешанная;1500;40
Lamu;Ресторан;53.199438;107.341697;4.4;европейская, русская, национальная;1700;41
Удача;Кафе;53.21923;107.420832;4.4;русская,азиатская;500;42
Ёжики-Морожики;Кафе,Кофейня,Мороженое;53.192599;107.341066;4.4;европейская;400;43
Далара;Кафе;53.191596;107.339179;4.4;русская,европейская,бурятская;500;44
Ай да Шаурма;Кафе;53.195533;107.342604;4.4;азиатская;500;45
Restobar Orange;Ресторан,Кафе,Бар, паб;53.198009;107.359771;4.4;европейская, континентальная, национальная, вегитарианская;1000;46
Бригантина;Кафе;52.759581;106.327423;2.2;;;47
Кафе Таверна;Кафе;53.19324;107.339127;3.3;;;48
Байкальский вальс;Турбаза,Гостиница,Кафе,;53.022172;106.872068;4.4;русская,азиатская;380;49
Алалла;Кафе;53.4053;107.673193;;;;50
Сибирячка;Кафе;52.797281;106.407368;4.4;русская, национальная;300;51
Столовая;Столовая;52.796972;106.401996;4.4;;;52
Удачное;Кафе;52.764646;106.337219;4.4;;;53
Лесная;Турбаза;53.217797;107.428114;4.4;;;54
Гостевой дом Белая Юрта;Гостиница;53.219143;107.427385;4.4;;;55
