name,type,lat,lon,rating,id,kitchen,midprice,id_cat
Омулевая бочка,Кафе,53.197129,107.351953,4.4,0,,600.0,0
Далай,Ресторан,53.19518,107.341974,4.4,1,"русская,бурятская",500.0,1
Кудесница,"Кафе,Кофейня,Пиццерия",53.192564,107.348943,4.4,2,,700.0,2
Воскресение,Кофейня,53.195689,107.341993,5.5,3,,700.0,3
У Лёвы,Кафе,53.193592,107.343228,4.4,4,"азиатская,авторская,бурятская",500.0,4
Юрта,Кафе,53.194897,107.342512,4.4,5,,800.0,5
Port Olkhon,Ресторан,53.193636,107.333058,4.4,6,"бурятская,русская,европейская",1500.0,6
Палуба,Кафе,53.194414,107.354501,4.4,7,"русская,европейская",750.0,7
Островок,"Пиццерия,Доставка еды и обедов",53.195892,107.337814,4.4,8,,575.0,8
Юрта,"Кафе,Ресторан",53.197024,107.357183,4.4,9,,,9
Ресторан Сибирской кухни,Ресторан,53.194224,107.361627,4.4,10,"европейская, русская, авторская, морская, сибирская, национальная",1500.0,10
Saray,"Бар, паб,Кальян-бар,Ресторан",53.194346,107.360876,4.4,11,"русская, восточная, авторская, национальная",3250.0,11
Кафе,Кафе,53.193206,107.339658,3.3,12,"бурятская,русская",350.0,12
Вилла Малина,Ресторан,53.201132,107.350841,4.4,13,"русская,европейская,авторская",1800.0,13
Кофе Терапия,"Кофейня,Кафе",53.193208,107.340268,4.4,14,,650.0,14
Coffee&Wine,Кафе,53.193876,107.332918,4.4,15,,200.0,15
Harat's bus tour,"Бар, паб",53.192998,107.343367,3.3,16,"русская,европейская,бурятская",550.0,16
Кафе,Кафе,53.199329,107.342557,4.4,17,,,17
Port Olkhon Sound-bar,"Бар, паб",53.193035,107.331583,4.4,18,,,18
Кафе,Кафе,53.193635,107.337982,2.2,19,"русская,бурятская",500.0,19
West Baikal coffee,Кофейня,53.193386,107.349008,,20,,,20
Кочевник,"Бар, паб",53.19323,107.338414,3.3,21,"русская,бурятская,вегетерианская",500.0,21
Алтан,Кафе,53.014713,106.880478,4.4,22,бурятская,650.0,22
Вера,Кафе,53.014436,106.879663,4.4,23,бурятская,300.0,23
Кафе,Кафе,53.024817,106.864902,4.4,24,,,24
Кафе,Кафе,53.026874,106.847089,4.4,25,,,25
Феникс,Кафе,53.029263,106.829706,4.4,26,"русская,бурятская",500.0,26
Куркут,Кафе,53.028803,106.830795,4.4,27,европейская,600.0,27
Наран,Кафе,53.018122,106.882319,,28,бурятская,250.0,28
Кафе Ольхон,Кафе,53.193167,107.341624,4.4,30,бурятская,500.0,29
Юрта,Кафе,52.789263,106.38497,4.4,31,"русская, национальная",400.0,30
Терраса,Кафе,53.001951,106.745892,4.4,32,"русская,европейская,бурятская",700.0,31
Baikal view cafe,Кафе,53.201113,107.345672,4.4,33,европейская,1500.0,32
Уюга,Гостиница,53.168016,106.947917,4.4,34,русская,550.0,33
Ирландский паб Harat's pub,"Бар, паб",53.002702,106.745045,4.4,35,смешанная,1500.0,34
Сурхайта,Кафе,53.281683,107.146371,4.4,36,,,35
Кафе,Кафе,53.285987,107.582925,,37,,,36
Shono,Кафе,53.033812,106.812202,4.4,39,"русская,европейская,бурятская",750.0,37
Delmar,"Кафе,Кальян-бар,Бар, паб",53.034728,106.814953,4.4,40,"русская,европейская,азиатская",600.0,38
Позная,Кафе,53.102902,106.833945,4.4,41,бурятская,500.0,39
Bistro Francais,Кафе,53.198479,107.340612,4.4,43,"итальянская, русская, смешанная",1500.0,40
Lamu,Ресторан,53.199438,107.341697,4.4,44,"европейская, русская, национальная",1700.0,41
Удача,Кафе,53.21923,107.420832,4.4,45,"русская,азиатская",500.0,42
Ёжики-Морожики,"Кафе,Кофейня,Мороженое",53.192599,107.341066,4.4,46,европейская,400.0,43
Далара,Кафе,53.191596,107.339179,4.4,47,"русская,европейская,бурятская",500.0,44
Ай да Шаурма,Кафе,53.195533,107.342604,4.4,48,азиатская,500.0,45
Restobar Orange,"Ресторан,Кафе,Бар, паб",53.198009,107.359771,4.4,49,"европейская, континентальная, национальная, вегитарианская",1000.0,46
Бригантина,Кафе,52.759581,106.327423,2.2,50,,,47
Кафе Таверна,Кафе,53.19324,107.339127,3.3,51,,,48
Байкальский вальс,"Турбаза,Гостиница,Кафе,",53.022172,106.872068,4.4,52,"русская,азиатская",380.0,49
Алалла,Кафе,53.4053,107.673193,,53,,,50
Сибирячка,Кафе,52.797281,106.407368,4.4,54,"русская, национальная",300.0,51
Столовая,Столовая,52.796972,106.401996,4.4,55,,,52
Удачное,Кафе,52.764646,106.337219,4.4,56,,,53
Лесная,Турбаза,53.217797,107.428114,4.4,57,,,54
Гостевой дом Белая Юрта,Гостиница,53.219143,107.427385,4.4,58,,,55
